source_id,docid,ky_hieu,loai,co_quan,ngay_ban_hanh,ngay_hieu_luc,trich_yeu,url_vb,pdf_local,chars,status,notes
nd145_2020,201967,145/2020/NĐ-CP,Nghị định,Chính phủ,2020-12-14,2021-02-01,Nghị định quy định chi tiết và hướng dẫn thi hành một số điều của Bộ luật Lao động về điều kiện lao động và quan hệ lao động,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-145-2020-nd-cp-32732.htm,,237917,active_verified,congbao.chinhphu.vn
nd151_2025,213927,151/2025/NĐ-CP,Nghị định,Chính phủ,2025-06-12,2025-07-01,"Nghị định quy định về phân định thẩm quyền của chính quyền địa phương 02 cấp, phân quyền, phân cấp trong lĩnh vực đất đai",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-151-2025-nd-cp-45191.htm,,427177,active_verified,congbao.chinhphu.vn
nd154_2024,211821,154/2024/NĐ-CP,Nghị định,Chính phủ,26-11-2024,10-01-2025,Quy định chi tiết một số điều và biện pháp thi hành Luật Cư trú,https://vanban.chinhphu.vn/?pageid=27160&docid=211821,data/private_cache/vbpq/nd154_2024.pdf,40298,active_verified,
nd158_2025,214189,158/2025/NĐ-CP,Nghị định,Chính phủ,2025-06-25,2025-07-01,Nghị định quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm xã hội về bảo hiểm xã hội bắt buộc,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-158-2025-nd-cp-45240/57069.htm,,116765,active_verified,congbao.chinhphu.vn
nd159_2025,214269,159/2025/NĐ-CP,Nghị định,Chính phủ,2025-06-25,2025-07-01,Nghị định quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm xã hội về bảo hiểm xã hội tự nguyện,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-159-2025-nd-cp-45253/57094.htm,,32355,active_verified,congbao.chinhphu.vn
nd161_2026,218107,161/2026/NĐ-CP,Nghị định,Chính phủ,2026-05-15,2026-07-01,"Nghị định quy định mức lương cơ sở và chế độ tiền thưởng đối với cán bộ, công chức, viên chức và lực lượng vũ trang",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-161-2026-nd-cp-469550.htm,,12415,active_verified,congbao.chinhphu.vn
nd168_2024,212167,168/2024/NĐ-CP,Nghị định,Chính phủ,2024-12-26,2025-01-01,"Nghị định quy định xử phạt vi phạm hành chính về trật tự, an toàn giao thông trong lĩnh vực giao thông đường bộ; trừ điểm, phục hồi điểm giấy phép lái xe",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-168-2024-nd-cp-43733/54010.htm,,254260,active_verified,congbao.chinhphu.vn
nd176_2025,214435,176/2025/NĐ-CP,Nghị định,Chính phủ,2025-06-30,2025-07-01,Nghị định quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm xã hội về trợ cấp hưu trí xã hội,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-176-2025-nd-cp-45409/57399.htm,,15801,active_verified,congbao.chinhphu.vn
nd188_2025,214515,188/2025/NĐ-CP,Nghị định,Chính phủ,2025-07-01,2025-08-15,Nghị định quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm y tế,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-188-2025-nd-cp-45593/57770.htm,,223795,active_verified,congbao.chinhphu.vn
nd191_2025,214527,191/2025/NĐ-CP,Nghị định,Chính phủ,2025-06-27,2025-07-01,Nghị định quy định chi tiết một số điều và biện pháp thi hành Luật Quốc tịch Việt Nam,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-191-2025-nd-cp-45602/57788.htm,,61422,active_verified,congbao.chinhphu.vn
nd20_2021,202811,20/2021/NĐ-CP,Nghị định,Chính phủ,2021-03-15,2021-07-01,Nghị định quy định chính sách trợ giúp xã hội đối với đối tượng bảo trợ xã hội,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-20-2021-nd-cp-33456/35239.htm,,93463,active_verified,congbao.chinhphu.vn
